"time","bus","location","direction","alg","count"
48,2,8.12895661305827,-1,"rope",0
48,3,2.77263828008047,-1,"rope",3
48,4,9.69646086015502,-1,"rope",0
48,5,7.44426204635766,1,"rope",4
49,1,1.61807158881083,-1,"rope",0
49,2,7.22221742201313,-1,"rope",0
49,3,2.49408646987243,-1,"rope",3
49,4,9.39626558797746,-1,"rope",0
49,5,7.71921366788369,1,"rope",4
50,1,1.49650497181222,-1,"rope",0
50,2,6.31547823096799,-1,"rope",0
50,3,2.21553465966439,-1,"rope",0
50,4,9.0960703157999,-1,"rope",0
50,5,7.99416528940973,1,"rope",4
51,1,1.37493835481361,-1,"rope",0
51,2,5.20565630917735,-1,"rope",0
51,3,1.45053165321738,-1,"rope",0
51,4,8.14345478193979,-1,"rope",0
51,5,8.38994978309519,1,"rope",4
52,1,1.253371737815,-1,"rope",0
52,2,4.09583438738671,-1,"rope",0
52,3,1.36508560937285,-1,"rope",0
52,4,7.19083924807969,-1,"rope",0
52,5,8.78573427678066,1,"rope",2
53,1,1.13180512081639,-1,"rope",0
53,2,3.83203884584807,-1,"rope",0
53,3,1.27963956552832,-1,"rope",0
53,4,5.53221564217542,-1,"rope",0
53,5,9.21194829559435,1,"rope",2
54,1,1.01023850381778,-1,"rope",0
54,2,3.56824330430943,-1,"rope",0
54,3,1.19419352168379,-1,"rope",0
54,4,4.93420140161738,-1,"rope",0
54,5,9.63816231440804,1,"rope",0
55,1,2.98537994043906,1,"rope",3
55,2,3.30444776277078,-1,"rope",0
55,3,1.10874747783926,-1,"rope",0
55,4,4.33618716105934,-1,"rope",0
55,5,9.70919611089778,1,"rope",0
56,1,3.8934884632554,1,"rope",3
56,2,3.04065222123214,-1,"rope",0
56,3,1.02330143399473,-1,"rope",0
56,4,3.10503218422516,-1,"rope",0
56,5,9.78022990738752,1,"rope",0
57,1,4.80159698607173,1,"rope",2
57,2,1.73474204733674,-1,"rope",0
57,3,2.68798833610752,1,"rope",0
57,4,2.97928576718396,-1,"rope",0
57,5,9.85126370387727,1,"rope",0
