"time","alg","direction","bus","location","arrive","board"
18,"elevator",1,4,4,43.7106146136964,37.1604945588089
18,"elevator",1,3,5,34.449996850666,24
18,"elevator",1,4,5,40.3467098686944,37.486355306626
18,"elevator",-1,5,6,22.2196275365842,18.3723475134222
18,"elevator",-1,4,6,24.8642413477627,18.8536303465551
18,"elevator",-1,1,8,42.0992912122227,29.3307530632755
18,"elevator",-1,1,10,29.3307530632755,27.8494776655123
19,"elevator",1,4,1,45.1967874587016,29.761137437196
19,"elevator",1,5,1,35.0301128227513,30.769293232712
19,"elevator",1,5,1,45.9991285557924,30.769293232712
19,"elevator",1,5,1,35.0301128227513,30.769293232712
19,"elevator",1,5,1,49.9080224799625,30.769293232712
19,"elevator",1,5,1,44.9894978484935,30.769293232712
19,"elevator",1,5,1,51.7937743525134,30.769293232712
19,"elevator",1,5,1,44.9894978484935,30.769293232712
19,"elevator",1,4,2,37.486355306626,31.7390351430494
19,"elevator",1,4,2,40.3467098686944,31.7390351430494
19,"elevator",1,4,2,37.1604945588089,31.7390351430494
19,"elevator",1,4,2,38.5749065993219,31.7390351430494
19,"elevator",1,4,2,37.486355306626,31.7390351430494
19,"elevator",-1,4,3,26.7773848562806,22.6093389873552
19,"elevator",-1,4,3,26.7773848562806,22.6093389873552
19,"elevator",1,4,4,43.7106146136964,37.1604945588089
19,"elevator",1,3,5,34.449996850666,24
19,"elevator",1,4,5,40.3467098686944,37.486355306626
19,"elevator",-1,1,8,42.0992912122227,29.3307530632755
19,"elevator",-1,1,10,29.3307530632755,27.8494776655123
20,"elevator",1,4,1,45.1967874587016,29.761137437196
20,"elevator",1,5,1,35.0301128227513,30.769293232712
20,"elevator",1,5,1,45.9991285557924,30.769293232712
20,"elevator",1,5,1,35.0301128227513,30.769293232712
20,"elevator",1,5,1,49.9080224799625,30.769293232712
20,"elevator",1,5,1,44.9894978484935,30.769293232712
20,"elevator",1,5,1,51.7937743525134,30.769293232712
20,"elevator",1,5,1,44.9894978484935,30.769293232712
20,"elevator",1,4,2,37.486355306626,31.7390351430494
20,"elevator",1,4,2,40.3467098686944,31.7390351430494
20,"elevator",1,4,2,37.1604945588089,31.7390351430494
20,"elevator",1,4,2,38.5749065993219,31.7390351430494
20,"elevator",1,4,2,37.486355306626,31.7390351430494
20,"elevator",-1,4,3,26.7773848562806,22.6093389873552
20,"elevator",-1,4,3,26.7773848562806,22.6093389873552
20,"elevator",1,4,4,43.7106146136964,37.1604945588089
20,"elevator",1,3,5,34.449996850666,24
20,"elevator",1,4,5,40.3467098686944,37.486355306626
20,"elevator",-1,1,8,42.0992912122227,29.3307530632755
20,"elevator",-1,1,10,29.3307530632755,27.8494776655123
21,"elevator",1,4,1,45.1967874587016,29.761137437196
21,"elevator",1,5,1,35.0301128227513,30.769293232712
21,"elevator",1,5,1,45.9991285557924,30.769293232712
21,"elevator",1,5,1,35.0301128227513,30.769293232712
21,"elevator",1,5,1,49.9080224799625,30.769293232712
21,"elevator",1,5,1,44.9894978484935,30.769293232712
21,"elevator",1,5,1,51.7937743525134,30.769293232712
21,"elevator",1,5,1,44.9894978484935,30.769293232712
21,"elevator",1,4,2,37.486355306626,31.7390351430494
21,"elevator",1,4,2,40.3467098686944,31.7390351430494
21,"elevator",1,4,2,37.1604945588089,31.7390351430494
21,"elevator",1,4,2,38.5749065993219,31.7390351430494
21,"elevator",1,4,2,37.486355306626,31.7390351430494
21,"elevator",-1,4,3,26.7773848562806,22.6093389873552
21,"elevator",-1,4,3,26.7773848562806,22.6093389873552
21,"elevator",1,4,4,43.7106146136964,37.1604945588089
21,"elevator",1,3,5,34.449996850666,24
21,"elevator",1,4,5,40.3467098686944,37.486355306626
21,"elevator",-1,1,8,42.0992912122227,29.3307530632755
21,"elevator",-1,1,10,29.3307530632755,27.8494776655123
22,"elevator",1,4,1,45.1967874587016,29.761137437196
22,"elevator",1,5,1,35.0301128227513,30.769293232712
22,"elevator",1,5,1,45.9991285557924,30.769293232712
22,"elevator",1,5,1,35.0301128227513,30.769293232712
22,"elevator",1,5,1,49.9080224799625,30.769293232712
22,"elevator",1,5,1,44.9894978484935,30.769293232712
22,"elevator",1,5,1,51.7937743525134,30.769293232712
22,"elevator",1,5,1,44.9894978484935,30.769293232712
22,"elevator",1,4,2,37.486355306626,31.7390351430494
22,"elevator",1,4,2,40.3467098686944,31.7390351430494
22,"elevator",1,4,2,37.1604945588089,31.7390351430494
22,"elevator",1,4,2,38.5749065993219,31.7390351430494
22,"elevator",1,4,2,37.486355306626,31.7390351430494
22,"elevator",-1,4,3,26.7773848562806,22.6093389873552
22,"elevator",-1,4,3,26.7773848562806,22.6093389873552
22,"elevator",1,4,4,43.7106146136964,37.1604945588089
22,"elevator",1,3,5,34.449996850666,24
22,"elevator",1,4,5,40.3467098686944,37.486355306626
22,"elevator",-1,1,8,42.0992912122227,29.3307530632755
22,"elevator",-1,1,10,29.3307530632755,27.8494776655123
22,"elevator",-1,1,10,45.3321301602335,27.8494776655123
23,"elevator",1,4,1,45.1967874587016,29.761137437196
23,"elevator",1,5,1,35.0301128227513,30.769293232712
23,"elevator",1,5,1,45.9991285557924,30.769293232712
23,"elevator",1,5,1,35.0301128227513,30.769293232712
23,"elevator",1,5,1,49.9080224799625,30.769293232712
23,"elevator",1,5,1,44.9894978484935,30.769293232712
23,"elevator",1,5,1,51.7937743525134,30.769293232712
23,"elevator",1,5,1,44.9894978484935,30.769293232712
23,"elevator",1,4,2,37.486355306626,31.7390351430494
23,"elevator",1,4,2,40.3467098686944,31.7390351430494
23,"elevator",1,4,2,37.1604945588089,31.7390351430494
23,"elevator",1,4,2,38.5749065993219,31.7390351430494
23,"elevator",1,4,2,37.486355306626,31.7390351430494
23,"elevator",1,4,4,43.7106146136964,37.1604945588089
23,"elevator",1,3,5,34.449996850666,24
23,"elevator",1,4,5,40.3467098686944,37.486355306626
23,"elevator",-1,1,8,42.0992912122227,29.3307530632755
23,"elevator",-1,1,10,29.3307530632755,27.8494776655123
23,"elevator",-1,1,10,45.3321301602335,27.8494776655123
24,"elevator",1,4,1,45.1967874587016,29.761137437196
24,"elevator",1,5,1,35.0301128227513,30.769293232712
24,"elevator",1,5,1,45.9991285557924,30.769293232712
24,"elevator",1,5,1,35.0301128227513,30.769293232712
24,"elevator",1,5,1,49.9080224799625,30.769293232712
24,"elevator",1,5,1,44.9894978484935,30.769293232712
24,"elevator",1,5,1,51.7937743525134,30.769293232712
24,"elevator",1,5,1,44.9894978484935,30.769293232712
24,"elevator",1,4,2,37.486355306626,31.7390351430494
24,"elevator",1,4,2,40.3467098686944,31.7390351430494
24,"elevator",1,4,2,37.1604945588089,31.7390351430494
24,"elevator",1,4,2,38.5749065993219,31.7390351430494
24,"elevator",1,4,2,37.486355306626,31.7390351430494
24,"elevator",1,4,4,43.7106146136964,37.1604945588089
24,"elevator",1,4,5,40.3467098686944,37.486355306626
24,"elevator",-1,1,8,42.0992912122227,29.3307530632755
24,"elevator",-1,1,10,29.3307530632755,27.8494776655123
24,"elevator",-1,1,10,45.3321301602335,27.8494776655123
25,"elevator",1,4,1,45.1967874587016,29.761137437196
25,"elevator",1,5,1,35.0301128227513,30.769293232712
25,"elevator",1,5,1,45.9991285557924,30.769293232712
25,"elevator",1,5,1,35.0301128227513,30.769293232712
25,"elevator",1,5,1,49.9080224799625,30.769293232712
25,"elevator",1,5,1,44.9894978484935,30.769293232712
25,"elevator",1,5,1,51.7937743525134,30.769293232712
25,"elevator",1,5,1,44.9894978484935,30.769293232712
25,"elevator",1,4,2,37.486355306626,31.7390351430494
25,"elevator",1,4,2,40.3467098686944,31.7390351430494
25,"elevator",1,4,2,37.1604945588089,31.7390351430494
25,"elevator",1,4,2,38.5749065993219,31.7390351430494
25,"elevator",1,4,2,37.486355306626,31.7390351430494
25,"elevator",1,4,4,43.7106146136964,37.1604945588089
25,"elevator",1,4,5,40.3467098686944,37.486355306626
25,"elevator",-1,1,8,42.0992912122227,29.3307530632755
25,"elevator",-1,1,10,29.3307530632755,27.8494776655123
25,"elevator",-1,1,10,45.3321301602335,27.8494776655123
26,"elevator",1,4,1,45.1967874587016,29.761137437196
26,"elevator",1,5,1,35.0301128227513,30.769293232712
26,"elevator",1,5,1,45.9991285557924,30.769293232712
26,"elevator",1,5,1,35.0301128227513,30.769293232712
26,"elevator",1,5,1,49.9080224799625,30.769293232712
26,"elevator",1,5,1,44.9894978484935,30.769293232712
26,"elevator",1,5,1,51.7937743525134,30.769293232712
26,"elevator",1,5,1,44.9894978484935,30.769293232712
26,"elevator",1,4,2,37.486355306626,31.7390351430494
26,"elevator",1,4,2,40.3467098686944,31.7390351430494
26,"elevator",1,4,2,37.1604945588089,31.7390351430494
